147	147	7
305	305	45
964	964	359
964	2935	1
964	3633	1
964	4650	1
1251	147	41
1251	964	13
1251	1251	403
1251	1655	8
1251	1848	5
1251	1853	32
1251	2245	3
1251	2255	3
1251	2266	18
1251	2338	28
1251	2854	35
1251	2935	31
1251	3633	19
1251	3659	2
1251	3748	29
1251	4239	1
1251	4826	1
1251	6634	4
1251	7240	3
1387	1386	24
1655	1655	19
2245	2245	36
2245	2338	1
2245	3659	6
2266	2266	112
2266	3659	1
2338	2338	37
2756	2854	1
2786	964	3
2786	1386	58
2786	2081	72
2786	2172	32
2786	2266	5
2786	2786	580
2786	3380	15
2786	3678	45
2786	3685	22
2786	3964	1
2786	3997	99
2786	4277	1
2786	4948	1
2786	4991	3
2786	5437	1
2786	5569	1
2786	7724	6
2935	2935	2
2954	2854	19
3118	305	6
3118	3118	757
3118	3633	2
3118	3748	6
3118	3806	7
3118	4028	1
3118	4826	38
3118	8502	2
3255	3659	13
3633	2338	2
3633	2935	162
3633	3118	1
3633	3633	355
3633	3748	1
3633	4028	2
3633	4239	2
3633	4826	1
3633	7240	1
3659	3659	84
3685	3685	4
3685	4277	1
3748	2854	4
3748	3659	9
3748	3748	115
3748	3852	1
3771	3678	5
3771	3771	30
3771	3969	2
3780	3678	51
3852	3659	1
3964	3964	6
3969	3969	32
4028	4028	59
4098	3997	87
4146	4146	10
4150	4150	6
4239	4239	66
4256	3659	1
4256	4256	11
4277	3685	1
4277	4277	56
4277	4877	3
4277	4991	1
4355	4355	6
4362	4362	14
4366	3969	1
4366	4366	26
4374	4374	19
4444	4444	1
4459	4459	21
4471	4471	15
4505	3806	117
4505	6015	2
4548	4239	1
4548	4444	1
4548	4548	20
4556	4556	1
4643	4239	1
4643	4643	1
4650	4650	8
4653	4653	3
4750	4750	4
4758	4650	1
4758	4758	31
4758	4961	1
4826	3806	1
4826	4028	2
4826	4826	283
4826	5437	1
4826	5737	9
4826	6015	13
4826	6634	1
4826	7026	2
4846	4846	9
4853	4758	1
4853	4853	3
4877	4877	20
4883	4882	19
4883	4991	1
4948	4948	7
4961	4961	10
4963	4963	15
4963	6015	28
4963	7005	1
4967	4967	12
4972	4972	28
4991	3997	2
4991	4991	78
4991	5395	5
4991	5687	1
5039	4741	1
5039	5039	59
5047	5047	12
5100	5399	16
5152	5152	7
5159	4758	1
5159	5159	20
5163	5163	11
5255	5255	9
5268	5268	12
5334	5334	12
5349	5349	22
5437	5437	17
5441	5441	8
5441	5744	1
5451	5451	12
5455	5455	6
5553	5553	8
5560	5560	28
5566	5566	8
5569	5268	3
5569	5569	33
5575	4877	1
5575	5575	29
5594	5395	37
5594	5399	12
5639	5639	8
5643	5643	4
5646	5646	2
5648	5648	1
5687	5687	116
5687	6073	1
5737	5737	19
5737	7026	1
5744	5744	24
5772	5772	5
5855	5855	14
5855	6050	1
5857	5857	11
5862	5862	6
5967	5967	19
6015	6015	221
6015	7005	22
6050	6050	34
6059	6059	10
6072	6072	6
6072	6371	1
6073	6073	48
6138	6138	26
6148	6050	1
6162	6162	20
6165	6165	25
6199	5999	11
6250	6050	1
6252	6252	1
6345	6050	1
6345	6345	36
6345	6747	1
6371	6371	7
6375	6375	36
6375	7085	1
6386	6385	30
6396	5395	1
6396	6385	1
6396	6396	64
6396	6795	30
6396	7490	3
6457	6457	18
6509	7005	70
6565	6565	11
6570	6371	15
6570	6570	9
6570	6673	2
6570	6771	1
6570	7267	3
6634	2854	3
6634	6634	145
6634	7026	11
6658	6658	6
6673	6673	4
6747	6747	32
6747	7240	2
6753	6753	60
6761	6761	7
6762	6762	1
6763	6763	2
6869	7267	1
6977	6977	64
6977	7085	3
6977	7267	1
6977	7271	2
6977	7479	3
7071	7071	5
7085	7085	86
7105	7005	22
7159	7159	27
7164	7164	20
7164	7267	1
7240	7240	164
7240	7647	1
7240	7730	1
7255	7255	23
7267	6565	2
7267	7267	53
7319	7319	15
7326	7026	89
7326	7527	1
7375	7375	3
7460	7460	4
7471	7267	2
7479	7479	3
7491	7490	121
7491	9096	2
7625	7625	6
7646	7240	1
7646	7646	2
7662	7662	14
7722	7722	7
7724	7724	27
7730	7730	27
7768	7768	25
7774	7267	1
7774	7774	31
7935	7240	4
7935	7935	6
7985	7985	38
8027	8027	11
8054	8054	136
8073	8073	2
8169	8169	32
8169	9368	1
8242	8242	52
8374	8374	2
8380	8380	56
8389	7490	3
8389	8389	104
8441	8734	1
8475	8475	25
8502	4972	1
8502	7005	26
8502	7026	30
8502	7319	2
8502	7724	5
8502	7730	1
8502	8027	1
8502	8502	533
8502	9120	56
8561	8561	72
8561	9368	1
8572	8572	14
8734	8242	1
8734	8734	63
8734	8844	15
8774	8774	2
8834	7935	1
8834	8734	5
8834	8834	160
8834	9120	6
8834	9747	9
8854	8054	1
8975	8975	6
8975	9368	1
9046	8844	1
9057	9368	20
9080	8380	1
9080	9080	13
9080	9368	3
9096	7490	1
9096	8389	6
9096	9096	210
9096	9884	1
9150	8054	2
9150	8854	1
9150	9150	33
9150	9368	2
9221	9120	102
9352	9368	19
9368	8572	1
9368	8774	1
9368	9368	314
9368	9484	1
9484	9484	21
9724	9120	6
9747	9368	1
9747	9747	78
9884	9884	12
