147	70
305	57
964	383
1251	353
1386	98
1655	32
1848	11
1853	33
2081	75
2173	32
2245	41
2255	1
2266	132
2338	42
2405	176
2733	2
2786	517
2854	70
2935	181
3118	556
3380	47
3423	3
3633	392
3659	120
3678	101
3685	30
3748	155
3771	31
3806	133
3852	1
3964	11
3969	33
3997	158
4028	69
4146	10
4150	5
4239	67
4256	11
4277	59
4355	7
4362	14
4366	27
4374	19
4444	1
4459	22
4471	15
4548	22
4556	1
4643	2
4650	10
4653	3
4750	4
4758	24
4826	311
4846	9
4853	5
4855	8
4877	22
4882	19
4948	35
4961	11
4963	15
4967	12
4972	29
4991	85
5039	70
5047	10
5152	6
5159	20
5163	11
5255	9
5268	15
5334	11
5349	22
5395	73
5399	28
5437	19
5441	6
5451	12
5455	6
5553	8
5560	28
5566	8
5569	34
5575	30
5639	8
5643	4
5646	2
5648	1
5687	116
5737	30
5744	24
5772	5
5855	14
5857	11
5862	6
5967	19
5999	11
6015	186
6050	35
6059	10
6072	6
6073	49
6138	26
6148	1
6162	20
6165	25
6250	1
6252	1
6345	39
6371	23
6375	36
6385	31
6396	64
6457	18
6565	13
6570	9
6634	151
6658	6
6673	6
6747	31
6753	60
6761	6
6762	1
6763	2
6771	1
6795	30
6977	68
7005	216
7026	135
7071	5
7085	89
7159	30
7164	20
7240	173
7255	23
7267	61
7271	2
7319	17
7375	3
7460	2
7479	4
7490	123
7527	1
7625	6
7646	2
7647	1
7662	14
7722	7
7724	49
7730	30
7768	25
7774	31
7935	9
7985	42
7989	53
8027	14
8054	139
8073	2
8169	33
8242	53
8287	3
8374	2
8380	60
8389	34
8475	25
8502	529
8561	73
8572	15
8734	70
8774	4
8834	156
8844	16
8854	1
8975	8
9057	1
9080	17
9085	11
9096	218
9120	172
9150	33
9368	348
9484	22
9747	91
9884	13
9977	2
