147	7
305	45
964	362
1251	679
1387	24
1655	19
2245	43
2266	113
2338	37
2756	1
2786	945
2935	2
2954	19
3118	819
3255	13
3633	527
3659	84
3685	5
3748	129
3771	37
3780	51
3852	1
3964	6
3969	32
4028	59
4098	87
4146	10
4150	6
4239	66
4256	12
4277	61
4355	6
4362	14
4366	27
4374	19
4444	1
4459	21
4471	15
4505	119
4548	22
4556	1
4643	2
4650	8
4653	3
4750	4
4758	33
4826	312
4846	9
4853	4
4877	20
4883	20
4948	7
4961	10
4963	44
4967	12
4972	28
4991	86
5039	60
5047	12
5100	16
5152	7
5159	21
5163	11
5255	9
5268	12
5334	12
5349	22
5437	17
5441	9
5451	12
5455	6
5553	8
5560	28
5566	8
5569	36
5575	30
5594	49
5639	8
5643	4
5646	2
5648	1
5687	117
5737	20
5744	24
5772	5
5855	15
5857	11
5862	6
5967	19
6015	243
6050	34
6059	10
6072	7
6073	48
6138	26
6148	1
6162	20
6165	25
6199	11
6250	1
6252	1
6345	38
6371	7
6375	37
6386	30
6396	99
6457	18
6509	70
6565	11
6570	30
6634	159
6658	6
6673	4
6747	34
6753	60
6761	7
6762	1
6763	2
6869	1
6977	73
7071	5
7085	86
7105	22
7159	27
7164	21
7240	166
7255	23
7267	55
7319	15
7326	90
7375	3
7460	4
7471	2
7479	3
7491	123
7625	6
7646	3
7662	14
7722	7
7724	27
7730	27
7768	25
7774	32
7935	10
7985	38
8027	11
8054	136
8073	2
8169	33
8242	52
8374	2
8380	56
8389	107
8441	1
8475	25
8502	655
8561	73
8572	14
8734	79
8774	2
8834	181
8854	1
8975	7
9046	1
9057	20
9080	17
9096	218
9150	38
9221	102
9352	19
9368	317
9484	21
9724	6
9747	79
9884	12
