Community,No_Nodes
147,48
305,51
964,375
1251,403
1386,82
1655,27
1848,5
1853,32
2081,72
2172,32
2245,39
2255,3
2266,135
2338,68
2786,580
2854,62
2935,196
3118,758
3380,15
3633,377
3659,117
3678,101
3685,27
3748,151
3771,30
3806,125
3852,1
3964,7
3969,35
3997,188
4028,64
4146,10
4150,6
4239,71
4256,11
4277,58
4355,6
4362,14
4366,26
4374,19
4444,2
4459,21
4471,15
4548,20
4556,1
4643,1
4650,10
4653,3
4741,1
4750,4
4758,33
4826,323
4846,9
4853,3
4877,24
4882,19
4948,8
4961,11
4963,15
4967,12
4972,29
4991,83
5039,59
5047,12
5152,7
5159,20
5163,11
5255,9
5268,15
5334,12
5349,22
5395,43
5399,28
5437,19
5441,8
5451,12
5455,6
5553,8
5560,28
5566,8
5569,34
5575,29
5639,8
5643,4
5646,2
5648,1
5687,117
5737,28
5744,25
5772,5
5855,14
5857,11
5862,6
5967,19
5999,11
6015,264
6050,38
6059,10
6072,6
6073,49
6138,26
6162,20
6165,25
6252,1
6345,36
6371,23
6375,36
6385,31
6396,64
6457,18
6565,13
6570,9
6634,150
6658,6
6673,6
6747,33
6753,60
6761,7
6762,1
6763,2
6771,1
6795,30
6977,64
7005,141
7026,133
7071,5
7085,90
7159,27
7164,20
7240,175
7255,23
7267,62
7271,2
7319,17
7375,3
7460,4
7479,6
7490,128
7527,1
7625,6
7646,2
7647,1
7662,14
7722,7
7724,38
7730,29
7768,25
7774,31
7935,7
7985,38
8027,12
8054,139
8073,2
8169,32
8242,53
8374,2
8380,57
8389,110
8475,25
8502,535
8561,72
8572,15
8734,69
8774,3
8834,160
8844,16
8854,1
8975,6
9080,13
9096,212
9120,170
9150,33
9368,362
9484,22
9747,87
9884,13
